id;tipologia;n_posti;anno;tot_bici;codice_via;civico;edificio;;;;
522;Archetto;2;2025;30;3390;3;"SCUOLA PRIMARIA ""LA VELA""";;;;
523;Verona 90;1;2025;6;6005;13;;;;;
524;Verona 90;1;2025;6;6005;13;;;;;
525;Metallo 4 posti;4;2025;4;7190;;;;;;
526;Metallo 4 posti;4;2025;4;7190;;;;;;
527;Archetto;2;2025;14;1120;;"PALAZZETTO DELLO SPORT ""BLM GROUP ARENA""";;;;
528;Archetto;2;2025;12;3250;;CAMPO CALCIO SAN BARTOLOMEO;;;;
529;Archetto;2;2025;12;8023;;CENTRO SPORTIVO SOPRAMONTE;;;;
530;Archetto;2;2025;16;1120;;CAMPO BASEBALL;;;;
71;Archetto;2;2023;10;5903;;;;;;
414;Bronzetti 7 posti;7;2023;7;7901;;PARCO MATTARELLO;;;;
531;Verona 90;5;2026;20;1700;6;;;;;
538;Verona 90;5;2026;5;2590;6;;;;;
532;Verona 90;5;2026;30;1700;2;;;;;
254;Metallo 5 posti;9;2022;27;3350;79;;;;;
536;Verona 90;5;2026;5;240;3;UFFICI COMUNALI PALAZZO THUN;;;;
535;Verona 90;5;2026;10;240;3;UFFICI COMUNALI PALAZZO THUN;;;;
534;Verona 90;5;2026;20;2640;82;BIBLIOTECA;;;;
539;Verona 90;5;2026;5;820;2;;;;;
540;Verona 90;5;2026;10;380;;;;;;
541;Verona 90;5;2026;10;3320;14;UFFICI COMUNALI;;;;
543;Verona 90;5;2026;10;1130;17;UFFICI COMUNALI;;;;
544;Verona 90;5;2026;10;3320;6;;;;;
545;Verona 90;5;2026;20;3320;12;"SCUOLA INFANZIA ""TORRIONE""";;;;
546;Verona 90;5;2026;5;1080;40;;;;;
533;Verona 90;5;2026;10;1700;72;;;;;
547;Verona 90;5;2026;10;1700;80;;;;;
548;Archetto;2;2026;20;1050;13;;;;;
549;Verona 90;5;;20265;1550;21;;;;;
537;Verona 90;5;2026;10;1710;61;;;;;
542;Verona 90;5;2026;5;1130;17;UFFICI COMUNALI;;;;
550;Verona 90;5;2026;5;230;16;;;;;
551;Verona 90;6;2026;6;240;19;;;;;
552;Archetto;2;2026;6;395;;;;;;
