codiceVia;nomeVia;isSensoUnico;nome_strada
8116;STRADA DI CADINE;0;SS 45 bis Gardesana Occ
8960;VIA ALLE SETTE FONTANE;0;
8911;VIA DEI POMARI;1;SP 90 Destra Adige
5300;LOCALITA' RONCAFORT;0;
5260;VIA PALUDI;0;
3850;STRADA DELL'INTERPORTO;1;SP 235 dell'Interporto
3825;VIA A. GORFER;0;
7440;VIA REDONDOLO;0;
8492;VIA ALLE OSELERE;0;
1570;VIA E. MACCANI;1;
3430;VIA DEI VENTUNO;0;
3130;SALITA SODEGERIO DA TITO;0;
600;VIA DEI CAPPUCCINI;0;
7260;SALITA DEI MOLINI;0;
7220;VIA VALDACOLE;0;
7268;VIA DELLA VILLA PAROLARI;0;
6470;VIA PER L'OSSERVATORIO;0;
3502;VIA DEI GIARDINI;0;
5102;VIA ALTO ADIGE;0;
6020;VIA BELLAVISTA;0;
8539;STRADA DI PRAMALGA;0;
1540;VIA DRUSO;1;SS 12 svincoli
8072;VIA CANELLI;0;
3770;VIA H. JEDIN;0;
3720;VIA DELLA MALPENSADA;0;
1840;VIA G. MAZZINI;0;
530;VIA CALEPINA;1;
3300;VIA TORRE VANGA;1;
8840;VIA SANTA MARINA;0;
8313;VIA DEL CESURON;0;
3807;TANGENZIALE OVEST;1;SS 12 svincoli
430;VIA BRESCIA;0;
3815;PIAZZETTA M. GAISMAYR;0;
3814;VICOLO CONTRADA TEDESCA;0;
8499;VIA DEL BROLIO;0;
3290;VIA TORRE D'AUGUSTO;0;
7795;VIA G. CATONI;1;
3330;SALITA G. TOVAZZI;0;
6467;VIA MARIO CAVALIERI;0;
6467;VIA MARIO CAVALIERI;0;
5781;VIA DELLE PALAZZINE;0;
6390;STRADA DELLA VALSUGANA;0;SP 204 Villazzano-Ponte Ludovico
0;;1;
150;VIA L. ANZOLETTI;0;
8491;STRADA ALLE GORGHE;0;
1570;VIA E. MACCANI;1;
8055;VIA DI VEGIARA;0;
7340;LOCALITA' PASSO CIMIRLO;0;
610;LARGO G. CARDUCCI;1;
1260;PIAZZA G.B. GARZETTI;1;
6470;VIA PER L'OSSERVATORIO;0;
3823;VIA DI COSTA SAN NICOLO';0;
8803;VIA STELLA;0;SP 90 Destra Adige
3150;VIA DEI SOLTERI;0;
6300;VIA ALLA PELEGRINA;0;
7263;VIA DEL NESPOLAR;0;
7340;LOCALITA' PASSO CIMIRLO;0;
6470;VIA PER L'OSSERVATORIO;0;
2495;VIA A. PRANZELORES;0;
3150;VIA DEI SOLTERI;0;
3510;VIA VITTORIO VENETO;0;
6470;VIA PER L'OSSERVATORIO;0;
40;VIA ADAMELLO;1;
3832;VIA V. DE RICCABONA;0;
6455;VIA ALLA LOVARA;0;
5090;VIA DELLA CANOVA;0;
8122;VIA DI COLTURA;0;
1630;VIA B. MALFATTI;1;
8720;VIA PER BELVEDERE;0;
7701;VIA ADOLFO ENDRIZZI;0;
8066;STRADA DEL NORGE;0;SP 85 del Monte Bondone
3220;VIA T. TARAMELLI;0;
3220;VIA T. TARAMELLI;0;
5640;VIA GASPARE CRIVELLI;0;
3510;VIA VITTORIO VENETO;0;
8001;VIA DELLA BELINA;0;
8750;VIA DELLA CROCE;0;
0;;1;
8066;STRADA DEL NORGE;0;
3815;PIAZZETTA M. GAISMAYR;0;
2880;VIA SAN PIO X;1;
1730;VIA A. MANZONI;1;
830;VIA DELLA COLLINA;0;
1470;VIA DELLE LASTE;0;
6470;VIA PER L'OSSERVATORIO;0;
7430;VIA VILLA MARIA;0;
770;VIA E. CHINI;0;
1570;VIA E. MACCANI;0;
5781;VIA DELLE PALAZZINE;0;
1130;PIAZZA DI FIERA;0;
2530;VIA DELLA PREPOSITURA;0;
2495;VIA A. PRANZELORES;0;
2540;VIA RAGAZZI DEL '99;0;
7370;VIA EREMO;0;
830;VIA DELLA COLLINA;0;
3760;VIA PADRE EUSEBIO IORI;0;
1370;VIA GOCCIADORO;0;
3503;VIA MESIANO;0;
1040;PIAZZA DUOMO;0;
7984;VIA DELLE REGOLE;0;
6427;LARGO PADRE TEOFILO;0;
8031;PIAZZALE DELLA PESA;0;
8760;VIA FILARI LONGHI;0;
8870;VIA VAL GOLA;0;
8740;VIA CENTRALE;0;
400;VIA DEL BRENNERO;1;
7770;VIA DELLA DECIMA;0;
8235;VIA MOSNA DI VIGOLO;0;
8205;VIA DELLA CANONICA;0;
8027;PIAZZA OVENO;0;
5665;VIA KEMPTEN;0;
8616;VIA DEI FILARI;0;
3660;VIA L. SENESI;0;
845;VIA E. CONCI;0;
6390;STRADA DELLA VALSUGANA;1;
7340;LOCALITA' PASSO CIMIRLO;0;
8067;VIA DEL PRA DE LA FAVA;0;
370;I ANDRONA BORGONUOVO;1;
7501;STRADA PER MARANZA;0;
2530;VIA DELLA PREPOSITURA;0;
3823;VIA DI COSTA SAN NICOLO';0;
8054;VICOLO VECCHIO;1;
8016;VIA DEL LAON;0;
5170;VIA GIARETTE;0;
7050;LOCALITA' CERNIDOR;0;
7315;VIA MADONNINA;0;
7775;VIA DELLE CESE LONGHE;0;
7795;VIA G. CATONI;0;
7775;VIA DELLE CESE LONGHE;0;
7145;STRADA DELLA POZZATA;0;
1010;VIA DOS TRENTO;0;
7984;VIA DELLE REGOLE;0;
8657;STRADA DEL PRA DEL BOTER;0;
7180;STRADA DELLE TABARELLE;0;
5020;VIA C. ANDREATTA;0;
830;VIA DELLA COLLINA;0;
8955;VIA DELLE PIAZZOLE;0;
975;L.GO DONATORI VOL. SANGUE;1;
7860;VIA F. MENESTRINA;0;
7865;STRADA DELLE NOVALINE;0;
3000;VIA SANTA TRINITA';1;
2920;VIA SAN VIGILIO;0;
7350;VIA SALE';1;
7410;SALITA SANT'AGATA;0;
7070;VIA N. FALZOLGHER;0;
7150;VIA SAN ROCCO;1;
610;LARGO G. CARDUCCI;1;
420;VIA G. BRESADOLA;1;
2220;VIA G. PANCHERI;0;
8312;VIA DEI CADENI;0;
3030;PIAZZA RAFFAELLO SANZIO;0;
6480;VIA DI NICODEMO;0;
3508;VIA A. GOIO;0;
8129;VIA DEL MOLIN;0;
7745;VIA VILLA VECCHIA;0;
8218;STRADA PER TERLAGO;0;SP 18 dei Laghi di Terlago e Lamar
1050;VIA L. EINAUDI;0;
7375;VIA BRENZ;0;
7415;VIA ALLA VAL;0;
8322;VIA DELLA CHIESA;0;
8656;VIA PER CESANA - CANDRIAI;0;
0;;1;
3440;VIA G. VERDI;0;
6110;VIA CESARINI;0;
6360;VIA SAN VITO;0;
7500;VIA DELLA SELVA;0;
7500;VIA DELLA SELVA;0;
7500;VIA DELLA SELVA;0;
740;VIA DELLA CERVARA;0;
2500;LARGO E. PRATI;1;
8840;VIA SANTA MARINA;0;
8036;VIA DEI PRAI;0;
3400;PIAZZA VENEZIA;0;
8465;PASSEGGIATA F. PERGHEM;0;
8830;RIONE SAN MARCO;0;
8830;RIONE SAN MARCO;0;
8830;RIONE SAN MARCO;0;
8657;STRADA DEL PRA DEL BOTER;0;SP 85 dir Sopramonte
8840;VIA SANTA MARINA;0;
7984;VIA DELLE REGOLE;0;
7350;VIA SALE';0;
4012;GIARDINO DEL MASO SMALZ;0;
845;VIA E. CONCI;0;
