codiceVia;nomeVia;isSensoUnico;nome_strada
8117;VIA DELLE CAMALGHE;0;
3806;VIA GIOVANNI OSSANNA;0;
8627;P.ZZA S.FILIPPO E GIACOMO;0;
840;VIA DEL COMMERCIO;0;
8013;VIA DEL DOSSOL;0;
8028;VIA AL PALU';0;
7080;VIA GALASSA;0;
8627;P.ZZA S.FILIPPO E GIACOMO;0;
1480;VIA LAVISOTTO;0;
8603;VIA GEROLAMO BUCELLENI;0;
8870;VIA VAL GOLA;0;
8601;SALITA ALL'APIARIO;0;
3830;STR. GARDESANA DI TRENTO;0;
6100;VIA DEI CASTORI;0;
8520;VICOLO DEL RIO;0;
6060;VIA AI CAMILASTRI;0;
6198;VIA CARLO E VALERIA JULG;0;
7410;SALITA SANT'AGATA;0;
740;VIA DELLA CERVARA;0;
7510;VIA DEI VALONI;0;
4009;GIARDINO ENRICO PRUNER;0;
8603;VIA GEROLAMO BUCELLENI;0;
8628;LARGO DELLA SPIAZZOLA;0;
8609;VIA DELLA CONFRATERNITA;0;
400;VIA DEL BRENNERO;0;
7160;VIA D. SARTORI;0;
5630;VIA DELL'ORA DEL GARDA;0;
0;;1;Autostrada A22
2310;VIA G. PEDROTTI;0;
6290;VIA DEGLI OLIVI;0;
7340;LOCALITA' PASSO CIMIRLO;0;
8940;VIA DI SANTA BRIGIDA;0;
1890;VIA MILANO;0;
3350;CORSO 3 NOVEMBRE;0;
1040;PIAZZA DUOMO;0;
2510;VIA G. PRATI;1;
5080;VIA L. CANEPPELE;0;
1890;VIA MILANO;0;
1890;VIA MILANO;0;
1890;VIA MILANO;0;
6340;VIA SABBIONARE;0;
6491;VIA AL MASO PEZANI;0;
2090;VIA G. ONESTINGHEL;1;
1700;VIA G. MANCI;1;
1700;VIA G. MANCI;1;
8930;VIA DELLE FONTANELLE;0;
3507;VIA G. UNTERVEGER;1;
8039;VIA DI REVOLTA;1;
8985;VIA DI MALEBIS;0;
7820;VIA DELLA ROZOLA;0;
3504;VIA MURALTA;0;
6240;VIA DEI MASETTI;0;
7425;VIA GABBIOLO;0;
7485;VIA DELLA RESISTENZA;0;
6451;VIA AL MASO PAGANIN;0;
8803;VIA STELLA;0;SP 90 Destra Adige
7115;VIA DELLA ZIVERANA;0;
8492;VIA ALLE OSELERE;0;
4069;GIARDINO A. I. SOLZENICYN;0;
6320;VIA DEI POZATI;0;
3535;VIA V. ZAMBRA;0;
8323;VIA DEI CASAI;0;
1570;VIA E. MACCANI;0;
3822;VIA DEL MASO SMALZ;0;
1060;VIA MONS. C. ENDRICI;0;
1890;VIA MILANO;0;
1890;VIA MILANO;0;
1890;VIA MILANO;1;
7850;STRADA DEI FORTI;0;
940;VIA DIETRO LE MURA A;1;
5750;VIA G. B. FATTORI;0;
2380;LOCALITA' PIAZZINA;0;
3809;VIA ERNESTO SESTAN;1;
8126;VIA DELLA GIARA;0;
7268;VIA DELLA VILLA PAROLARI;0;
7340;LOCALITA' PASSO CIMIRLO;0;
380;II ANDRONA BORGONUOVO;1;
6075;PIAZZA DEI CANOPI;0;
6320;VIA DEI POZATI;0;
3100;VIA G. SEGANTINI;0;
8212;VIA DON LUCA DEFLORIAN;1;
5500;PIAZZA DELLA LIBERTA';0;
8480;VIA AL CANON;0;
3390;LOCALITA' LA VELA;0;
6428;VIA PER VILLAMONTAGNA;0;
8760;VIA FILARI LONGHI;0;
190;VIA ASILO PEDROTTI;0;
8940;VIA DI SANTA BRIGIDA;0;
4066;TRIDENTE;0;
2330;VIA F.LLI PERINI;0;
5595;VIA DI MELTA;0;
4051;PONTE SAN LORENZO;0;
5777;VIA KUFSTEIN;0;
5777;VIA KUFSTEIN;0;
0;;0;
8069;STRADA DI VIGOLO BASELGA;0;SS 45 bis Gardesana Occ
3230;VICOLO DEL TEATRO;0;
0;;1;
3811;TANGENZIALE SUD;0;
2430;VIA DI PIETRASTRETTA;0;
6491;VIA AL MASO PEZANI;0;
7765;VIA U. CROZZOLI;0;
1400;VIA DON GIUSEPPE GRAZIOLI;0;
7263;VIA DEL NESPOLAR;0;
7500;VIA DELLA SELVA;0;
1380;VIA GORIZIA;0;
8491;STRADA ALLE GORGHE;0;
2920;VIA SAN VIGILIO;0;
7350;VIA SALE';0;
7350;VIA SALE';0;
2290;VIA BEATO LODOVICO PAVONI;0;
7430;VIA VILLA MARIA;0;
1600;VIA CARD. C. MADRUZZO;0;
1600;VIA CARD. C. MADRUZZO;0;
3535;VIA V. ZAMBRA;1;
3829;VIA TULLIO ODORIZZI;0;
5500;PIAZZA DELLA LIBERTA';0;
7865;STRADA DELLE NOVALINE;0;
1170;VIA FELICE E G. FONTANA;0;
5010;VIA AEROPORTO;0;
1710;VIA MANTOVA;1;
4065;SAN PIO X;0;
0;;1;Autostrada A22
3807;TANGENZIALE OVEST;1;SS 12 svincoli
7425;VIA GABBIOLO;0;
6020;VIA BELLAVISTA;0;
2880;VIA SAN PIO X;0;
8111;VIA DELL'ANDRONA;0;
6495;VIA DI ZELL;0;
2070;VIA G. OBERZINER;1;
740;VIA DELLA CERVARA;0;
8526;VICOLO DELLA FILANDA;0;
8472;PIAZZA DELL'ASSUNTA;1;
8472;PIAZZA DELL'ASSUNTA;0;
3505;VIA DELLA SPALLIERA;0;
8516;STRADA AL CIROCOL;0;
3503;VIA MESIANO;0;SP 204 Villazzano-Ponte Ludovico
7305;VIA ALLA CASCATA;0;
8626;VIA DEL RONCO D'ANDREA;0;
7405;VIA MADONNA DELLA CORONA;0;
6483;VIA DEI BERGAMINI;0;
2030;PIAZZA LUIGI NEGRELLI;0;
1130;PIAZZA DI FIERA;1;
1930;VIA MONTE BALDO;0;
3290;VIA TORRE D'AUGUSTO;0;
3829;VIA TULLIO ODORIZZI;0;
100;CORSO DEGLI ALPINI;1;
2680;VIALE ROVERETO;1;
1390;VIA A. GRAMSCI;0;
1460;VIA G. B. LAMPI;1;
300;VIA BEZZECCA;1;
7465;VIA V. MARCHESONI;0;
7345;VIA SABBIONI;0;
6170;VIA DEL FORTE;0;
3510;VIA VITTORIO VENETO;1;
2820;VIA SAN MARTINO;0;
2180;VIA P. OSS MAZZURANA;1;
1890;VIA MILANO;0;
1350;VIA G. GIUSTI;1;
2120;VIA ORIOLA;1;
7050;LOCALITA' CERNIDOR;0;
7090;VIA U. GIORDANO;0;
7050;LOCALITA' CERNIDOR;0;
1400;VIA DON GIUSEPPE GRAZIOLI;0;
8608;VIA ALLA CESA VECIA;0;
840;VIA DEL COMMERCIO;1;
5520;VIA MARCO POLA;1;
2020;VIA DEI MUREDEI;0;
1560;VIA G. E T. LORENZONI;1;
3504;VIA MURALTA;0;
3824;VIA DI SAN VINCENZO;0;
6001;VIA DON ALFONSO ANSELMI;0;
6240;VIA DEI MASETTI;0;
7415;VIA ALLA VAL;0;
7370;VIA EREMO;0;
7370;VIA EREMO;0;
1770;LUNGADIGE MARCO APULEIO;0;
7010;VIA ASIAGO;1;
3850;STRADA DELL'INTERPORTO;1;
8319;STRADA DI OMALGA;0;
8700;COSTA;0;
4061;PARCO DI GOCCIADORO;0;
4063;FINESTRA SULL'ADIGE;0;
0;;1;
5909;MILLENNIUM;0;
6904;MARNIGHE;0;
7090;VIA U. GIORDANO;0;
5460;VIA INNSBRUCK;0;
7430;VIA VILLA MARIA;0;
5776;VIA CESARE BECCARIA;0;
1370;VIA GOCCIADORO;0;
8970;VIA DEI RIMONI;0;
8049;STRADA PER LE TRE CIME;0;SP 85 dir Sopramonte
2530;VIA DELLA PREPOSITURA;0;
8260;PIAZZA SAN LEONARDO;0;
8820;VIA PROVINA;0;
8970;VIA DEI RIMONI;0;
5630;VIA DELL'ORA DEL GARDA;0;
8414;VIA DEL PORFIDO;0;SP 76 Gardolo-Lases
7340;LOCALITA' PASSO CIMIRLO;0;
5102;VIA ALTO ADIGE;0;
6491;VIA AL MASO PEZANI;0;
4016;GIARDINO GIUSEPPE GARBARI;0;
310;VIA E. BEZZI;0;
3353;CENTRO DIR. TRENTO SUD;1;
8770;VIA MARGONE;0;
6300;VIA ALLA PELEGRINA;0;
8414;VIA DEL PORFIDO;1;SP 76 Gardolo-Lases
7370;VIA EREMO;0;
7795;VIA G. CATONI;0;
8422;SPONDA TRENTINA;0;
5420;VIA G. CAPRONI;0;
6040;VIA DEL BIANCOSPINO;0;
7510;VIA DEI VALONI;0;
7261;VIA DELLA GROTTA;0;
5720;VIA PASSIRIO;0;
2540;VIA RAGAZZI DEL '99;0;
3811;TANGENZIALE SUD;1;SS 12 svincoli
1770;LUNGADIGE MARCO APULEIO;0;
8840;VIA SANTA MARINA;0;
8416;VIA CASTEL DI GARDOLO;0;
2870;VICOLO SAN PIETRO;0;
7145;STRADA DELLA POZZATA;1;
8760;VIA FILARI LONGHI;0;
6468;VIA PER COGNOLA;0;
530;VIA CALEPINA;1;
3827;VIA DEI MARINAI D'ITALIA;0;
6424;VIA DEI RAFAEI;0;
2250;VIA DEI PARADISI;1;
7180;STRADA DELLE TABARELLE;0;
2080;VIALE DEGLI OLMI;0;
8911;VIA DEI POMARI;0;SP 90 Destra Adige
7145;STRADA DELLA POZZATA;0;
3509;VIA DELLE BETTINE;0;
7115;VIA DELLA ZIVERANA;0;
8911;VIA DEI POMARI;0;SP 90 Destra Adige
20;VIA A. ABONDI;0;
4002;GIARDINO DI SAN MARCO;0;
3807;TANGENZIALE OVEST;1;
8492;VIA ALLE OSELERE;0;
2080;VIALE DEGLI OLMI;0;
3250;VIALE DEI TIGLI;0;
7210;VIA TORRICELLE;0;
800;VIA CARD. BERNARDO CLESIO;0;
440;VIA DI BRIAMASCO;0;
3824;VIA DI SAN VINCENZO;0;
8236;STRADA DI MUR;0;
700;PIAZZA DI CENTA;1;
3280;VIA TONALE;1;
0;;1;
8510;VIA DEL PRA DE L'AGNELA;0;
7070;VIA N. FALZOLGHER;0;
7730;VIA G. POLI;0;
7250;VIA VILLA BELFONTE;0;
8052;VIA DELLA VAL DEI MOLINI;0;
1550;PIAZZA LODRON;0;
6370;VIA DON LEONE SERAFINI;0;
6400;VIA ALLA VEDUTA;0;
1520;LUNGADIGE G. LEOPARDI;1;
2270;PIAZZA M. PASI;0;
30;VIA J. ACONCIO;1;
8414;VIA DEL PORFIDO;0;SP 76 Gardolo-Lases
400;VIA DEL BRENNERO;1;
700;PIAZZA DI CENTA;1;
8067;VIA DEL PRA DE LA FAVA;0;
8985;VIA DI MALEBIS;0;
6468;VIA PER COGNOLA;0;
6390;STRADA DELLA VALSUGANA;1;
7510;VIA DEI VALONI;0;
8619;VIA DELLA LONGA;0;
1800;VIA MARSALA;0;
7935;PIAZZA QUINTILIO PERINI;0;
3905;VIA EDDA ALBERTINI;1;
3700;PASSAGGIO B. DISERTORI;0;
3030;PIAZZA RAFFAELLO SANZIO;0;
8486;VIA DEI FRAGARI;0;
7990;VIA POMERANOS;0;
3220;VIA T. TARAMELLI;0;
8820;VIA PROVINA;0;
1110;VIA FRANCESCO FERRUCCIO;1;
8526;VICOLO DELLA FILANDA;0;
830;VIA DELLA COLLINA;0;
5630;VIA DELL'ORA DEL GARDA;0;
140;VIA ANTONIO DA TRENTO;1;
6469;VIA DEL CORALLO;0;
2430;VIA DI PIETRASTRETTA;0;
8119;VIA DEL CAPITELLO;0;
480;CORSO M. BUONARROTI;0;
140;VIA ANTONIO DA TRENTO;1;
8068;STRADA PER SOPRAMONTE;0;SP 85 dir Sopramonte
8486;VIA DEI FRAGARI;0;
5300;LOCALITA' RONCAFORT;1;
1220;VIA T. GAR;0;
7305;VIA ALLA CASCATA;0;
8912;VIA DELLE ISCHIE;0;
3502;VIA DEI GIARDINI;0;
8116;STRADA DI CADINE;0;SS 45 bis Gardesana Occ
1170;VIA FELICE E G. FONTANA;0;
1040;PIAZZA DUOMO;0;
7130;LOCALITA' NEGRANO;0;
7160;VIA D. SARTORI;0;
7160;VIA D. SARTORI;0;
8018;VIA AL MASO BANAL;0;
1500;PIAZZA LEONARDO DA VINCI;1;
3400;PIAZZA VENEZIA;0;
7712;STRADA DELLA LAVANDARA;0;
8311;VIA AL BERSALIO;0;
8537;SALITA G. PERUGINI;0;
7090;VIA U. GIORDANO;0;
8116;STRADA DI CADINE;0;SS 45 bis Gardesana Occ
7770;VIA DELLA DECIMA;0;
5620;VIA DON F. TORRESANI;0;
8129;VIA DEL MOLIN;0;
3440;VIA G. VERDI;1;
1120;VIA FERSINA;0;
8415;VIA CASTEL DI CORTESANO;0;
1570;VIA E. MACCANI;1;
6200;VIA B. KOFLER;0;
8114;STRADA DEL BUS DE VELA;0;SS 45 bis Gardesana Occ
8067;VIA DEL PRA DE LA FAVA;0;
1470;VIA DELLE LASTE;0;
7010;VIA ASIAGO;0;
6150;VIA DOS CASTION;0;
6070;VIA ALLE CAMPANELLE;0;
0;;1;
1080;VIA C. ESTERLE;0;
5080;VIA L. CANEPPELE;0;
1140;VIA F. FILZI;0;
5907;PONTE AVISIO;0;
0;;1;
7713;VIA DI VALSORDA;0;
8804;RACCORDO AL CASELLO SUD;0;
8800;VIA DEL PONTE;0;
30;VIA J. ACONCIO;0;
6240;VIA DEI MASETTI;0;
8514;VIA DELLE CANOPE;0;
8313;VIA DEL CESURON;0;
5070;VIA BOLZANO;0;
5010;VIA AEROPORTO;0;
8240;VIA NUOVA;1;
7110;VIA MARZOLA;0;
2600;VIALE DELLE ROBINIE;0;
6050;VIA AI BOLLERI;0;
7090;VIA U. GIORDANO;0;
7355;VIA DEI RIVI;0;
7240;VIA DELLA VILLA;0;
8955;VIA DELLE PIAZZOLE;0;
8770;VIA MARGONE;0;
8805;VIA HERRSCHING;0;
3410;VIA VENEZIA;0;
7984;VIA DELLE REGOLE;0;
7010;VIA ASIAGO;1;
1355;VIA H. GMEINER;0;
7355;VIA DEI RIVI;0;
340;VIALE N. BOLOGNINI;0;
7210;VIA TORRICELLE;0;
3480;VIA VICENZA;0;
6220;VIA DELLE MARNIGHE;0;
3830;STR. GARDESANA DI TRENTO;1;SS 45 bis Gardesana Occ
520;VIA CAIO VALERIO MARIANO;0;
350;VIA B. BOMPORTO;0;
6468;VIA PER COGNOLA;0;
8213;STRADA DI SO' CA;0;
8122;VIA DI COLTURA;0;
3811;TANGENZIALE SUD;1;SS 12 svincoli
1470;VIA DELLE LASTE;0;
900;VIA A. DEGASPERI;1;
8476;VIA DEI PALUSTEI;0;
2810;VICOLO SAN MARCO;1;
5470;VIA 2 GIUGNO;1;
6050;VIA AI BOLLERI;0;SP 131 del Vino 2 tronco
1470;VIA DELLE LASTE;0;
3831;VIA G. FERRANDI;0;
7315;VIA MADONNINA;0;
770;VIA E. CHINI;0;
6100;VIA DEI CASTORI;0;
6491;VIA AL MASO PEZANI;0;
7860;VIA F. MENESTRINA;0;
6050;VIA AI BOLLERI;0;
6402;VIA PER CHIOGNA;0;
1870;VIA C. MENGUZZATO;0;
3340;VIA DEL TRAVAI;0;
2880;VIA SAN PIO X;0;
1760;VIA A. MARIGHETTO;0;
7315;VIA MADONNINA;0;
7780;VIA DELLA STAZIONE;0;
5750;VIA G. B. FATTORI;0;
3502;VIA DEI GIARDINI;1;
2300;VIA G. PECORI GIRALDI;0;
5460;VIA INNSBRUCK;0;
990;PASSAGGIO S. DORIGONI;0;
7070;VIA N. FALZOLGHER;0;
7070;VIA N. FALZOLGHER;0;
5370;VIA B. TODESCA;0;
8133;VIA DI SAN MICHELE;0;
110;VIA ALTIPIANI;1;
580;VICOLO DEL CAPITOLO;0;
1610;VICOLO CARD. C. MADRUZZO;0;
1200;VIA G. GALILEI;1;
6110;VIA CESARINI;0;
6070;VIA ALLE CAMPANELLE;0;
7390;VIA PANTE';1;
7210;VIA TORRICELLE;0;
8119;VIA DEL CAPITELLO;0;
2120;VIA ORIOLA;1;
1630;VIA B. MALFATTI;1;
1700;VIA G. MANCI;1;
2040;VIA NICOLO' D'ARCO;1;
7355;VIA DEI RIVI;0;
8042;PIAZZA DEL SACRO CUORE;0;
1170;VIA FELICE E G. FONTANA;0;
2060;VICOLO AL NUOTO;1;
0;;1;
6455;VIA ALLA LOVARA;0;
7430;VIA VILLA MARIA;0;
6200;VIA B. KOFLER;0;
8702;PONTE DI RAVINA;0;
1760;VIA A. MARIGHETTO;0;
2500;LARGO E. PRATI;1;
450;VIA BRIGATA ACQUI;1;
1200;VIA G. GALILEI;1;
7984;VIA DELLE REGOLE;0;
7990;VIA POMERANOS;0;
7990;VIA POMERANOS;0;
7815;VIA NAZIONALE;0;
6422;VIA DEI PRADESTEI;0;
6310;VIA PONTE ALTO;0;
7180;STRADA DELLE TABARELLE;0;
8031;PIAZZALE DELLA PESA;0;
7780;VIA DELLA STAZIONE;0;
3610;VIA MAESTRI DEL LAVORO;0;
7901;GIARDINO DI MATTARELLO;0;
2900;VIA R. DA SANSEVERINO;1;
2900;VIA R. DA SANSEVERINO;0;
200;VIA A. AVANCINI;0;
8607;VIA AL CASTAGNETO;0;
8114;STRADA DEL BUS DE VELA;1;SS 45 bis Gardesana Occ
3520;VICOLO DEL VO';0;
0;;1;
7266;SALITA AL SANTUARIO;0;
8650;STRADA DI CANDRIAI;0;SP 85 del Monte Bondone
7984;VIA DELLE REGOLE;0;
5560;VIA DEL PIOPPETO;0;
3050;LARGO N. SAURO;1;
5660;VIA DI SPINI;0;
7140;P.ZZA MONS. G.P. NICOLINI;0;
6425;VIA DI SAN FABIANO;0;
6414;VIA PER CAMPEL;0;
7190;VIA A. TAMBOSI;0;
8216;VIA 12 SETTEMBRE;0;
8235;VIA MOSNA DI VIGOLO;0;
8068;STRADA PER SOPRAMONTE;0;SP 85 dir Sopramonte
470;VIA G. BUCCELLA;1;
3807;TANGENZIALE OVEST;1;
2310;VIA G. PEDROTTI;0;
2070;VIA G. OBERZINER;0;
2540;VIA RAGAZZI DEL '99;1;SS 12 svincoli
5595;VIA DI MELTA;0;
1030;P.TTA DUE SETTEMBRE 1943;0;
8505;STRADA DEI MOLINARI;0;
0;;1;SP 204 Villazzano-Ponte Ludovico
7480;VIA PINARA;0;
7370;VIA EREMO;0;
2100;VIA DEGLI ORBI;0;
5760;VIA F. ORADINI;0;
7755;VIA DEL CASTEL;0;
7785;VIA DEL RIO STOLZANO;0;
7815;VIA NAZIONALE;0;
6330;VIA DI PRADISCOLA;0;
2060;VICOLO AL NUOTO;1;
2060;VICOLO AL NUOTO;1;
3340;VIA DEL TRAVAI;1;
310;VIA E. BEZZI;1;
2330;VIA F.LLI PERINI;1;
2030;PIAZZA LUIGI NEGRELLI;0;
0;;1;
6460;VIA DEL MONT DE SORA;0;
2670;VIA A. ROSMINI;0;
840;VIA DEL COMMERCIO;0;
840;VIA DEL COMMERCIO;1;
5500;PIAZZA DELLA LIBERTA';0;
840;VIA DEL COMMERCIO;1;
3503;VIA MESIANO;0;SP 204 Villazzano-Ponte Ludovico
8134;STRADA DI SORAVAL;0;
7850;STRADA DEI FORTI;0;
1470;VIA DELLE LASTE;0;
8026;VIA DEI NOVAI;0;
5090;VIA DELLA CANOVA;0;
3310;VIA TORRE VERDE;1;
3901;VIA G. MATTEOTTI;1;
840;VIA DEL COMMERCIO;0;
2330;VIA F.LLI PERINI;1;
3503;VIA MESIANO;0;SP 204 Villazzano-Ponte Ludovico
8018;VIA AL MASO BANAL;0;
2720;PASSAGGIO SAN BENEDETTO;0;
240;VIA R. BELENZANI;0;
1380;VIA GORIZIA;1;
810;VIA COL DI LANA;1;
7415;VIA ALLA VAL;0;
7475;PIAZZA OLTRECASTELLO;0;
6902;CORALLO;0;
6903;MASO BOLLERI;0;
7602;CELVA;0;
3050;LARGO N. SAURO;0;
5102;VIA ALTO ADIGE;0;
7460;VIA DON TOMMASO DALLAFIOR;0;
6080;VIA DEL CAPITEL;0;
5510;P.TTA PROFUGHI IN MORAVIA;0;
3300;VIA TORRE VANGA;1;
8970;VIA DEI RIMONI;0;
3807;TANGENZIALE OVEST;1;SS 12 svincoli
7712;STRADA DELLA LAVANDARA;0;
6469;VIA DEL CORALLO;0;
6466;VIA DEI BOLNER;0;
900;VIA A. DEGASPERI;0;
230;PIAZZA C. BATTISTI;0;
1730;VIA A. MANZONI;0;
6105;VIA DELL'ALBERA;0;
340;VIALE N. BOLOGNINI;0;
7335;VIA BORINO;0;
5755;VIA F. A. GIONGO;0;
3050;LARGO N. SAURO;1;
3832;VIA V. DE RICCABONA;1;
230;PIAZZA C. BATTISTI;0;
2170;VIA ORTIGARA;0;
8960;VIA ALLE SETTE FONTANE;0;
6360;VIA SAN VITO;0;
2830;VICOLO SAN MARTINO;0;
7990;VIA POMERANOS;0;
8314;STRADA DOS DE LE GIARE;0;
3824;VIA DI SAN VINCENZO;0;
1080;VIA C. ESTERLE;0;
3700;PASSAGGIO B. DISERTORI;0;
2690;VIA DELLA SALUGA;0;
6460;VIA DEL MONT DE SORA;0;
7350;VIA SALE';0;
3510;VIA VITTORIO VENETO;1;
3807;TANGENZIALE OVEST;1;SS 12 svincoli
8114;STRADA DEL BUS DE VELA;1;SS 45 bis Gardesana Occ
5290;VIA 4 NOVEMBRE;0;
5290;VIA 4 NOVEMBRE;0;
7485;VIA DELLA RESISTENZA;0;
8780;VIA DELLE MASERE;0;
8840;VIA SANTA MARINA;0;
3420;VIA 24 MAGGIO;1;
7870;SALITA AI DOSSI;0;
2660;VIA O. ROVERETI;1;
1300;VIA G. GEROLA;1;
1810;VIA C. MARTINI;1;
5020;VIA C. ANDREATTA;0;
2360;VIA F. PETRARCA;1;
1260;PIAZZA G.B. GARZETTI;0;
4002;GIARDINO DI SAN MARCO;0;
2220;VIA G. PANCHERI;0;
3501;VIA CENTOCHIAVI;0;
8911;VIA DEI POMARI;0;SP 90 Destra Adige
7115;VIA DELLA ZIVERANA;0;
50;PIAZZA ADAMO D'AROGNO;0;
7990;VIA POMERANOS;0;
8116;STRADA DI CADINE;0;SS 45 bis Gardesana Occ
8323;VIA DEI CASAI;0;
8131;VIA DELLA POSTA;0;
8260;PIAZZA SAN LEONARDO;0;
8803;VIA STELLA;0;SP 90 Destra Adige
8911;VIA DEI POMARI;0;SP 90 Destra Adige
2600;VIALE DELLE ROBINIE;0;
2280;VIA PASUBIO;0;
3806;VIA GIOVANNI OSSANNA;0;
7682;MORONAR;0;
4048;PONTE BEATO MARIO BORZAGA;0;
8015;CIMA PALON - VASON;0;
8049;STRADA PER LE TRE CIME;0;SP 85 dir Sopramonte
8830;RIONE SAN MARCO;0;
1640;VIA MALPAGA;1;
2820;VIA SAN MARTINO;0;
7145;STRADA DELLA POZZATA;0;
5755;VIA F. A. GIONGO;0;
8800;VIA DEL PONTE;0;
3504;VIA MURALTA;0;
7060;VIA DEI COLLI;0;
5675;VIA BREGENZ;0;
7262;VIA DEL BOMPORT;0;
5795;VIA TALVERA;0;
3811;TANGENZIALE SUD;1;SS 12 svincoli
3830;STR. GARDESANA DI TRENTO;0;SS 45 bis Gardesana Occ
6170;VIA DEL FORTE;0;
6370;VIA DON LEONE SERAFINI;0;
6003;VIA BASSANO;0;SS 47 della Valsugana
7050;LOCALITA' CERNIDOR;0;
7285;VIA G. ROBERTI;0;
8481;VICOLO DEI PORTONI;0;
7315;VIA MADONNINA;0;
7070;VIA N. FALZOLGHER;0;
8960;VIA ALLE SETTE FONTANE;0;
6220;VIA DELLE MARNIGHE;0;
2210;VIA G. P. DA PALESTRINA;1;
7265;VIA DEI GIUDITI;1;
6300;VIA ALLA PELEGRINA;0;
8016;VIA DEL LAON;0;
0;;1;SP 204 Villazzano-Ponte Ludovico
8212;VIA DON LUCA DEFLORIAN;1;
3807;TANGENZIALE OVEST;1;SS 12 svincoli
7815;VIA NAZIONALE;0;
5745;VIA MATTIA CARNERI;0;
5595;VIA DI MELTA;0;
5745;VIA MATTIA CARNERI;0;
7350;VIA SALE';0;
7284;P.GGIO DON MICHELE ZULIAN;0;
8471;VIA VECCHIE PONTARE;0;
8465;PASSEGGIATA F. PERGHEM;0;
100;CORSO DEGLI ALPINI;1;
3150;VIA DEI SOLTERI;0;
1110;VIA FRANCESCO FERRUCCIO;1;
7465;VIA V. MARCHESONI;0;
7305;VIA ALLA CASCATA;0;
3710;PIAZZA S. TERESA VERZERI;0;
7190;VIA A. TAMBOSI;0;
8417;VIA DEL MASO BIANCO;0;
8960;VIA ALLE SETTE FONTANE;0;
5635;VIA ALLE ROSTE;0;
900;VIA A. DEGASPERI;0;
8313;VIA DEL CESURON;0;
6456;VIA DEL MONT DE SOTO;0;
8965;PIAZZA C. CONDINI;0;
1010;VIA DOS TRENTO;0;
2680;VIALE ROVERETO;1;
1380;VIA GORIZIA;1;
860;VIA CONI ZUGNA;1;
8478;VIA DI CAMPARTA BASSA;0;
7603;POVO;0;
6110;VIA CESARINI;0;
3501;VIA CENTOCHIAVI;0;
560;VIA G. CANESTRINI;0;
3510;VIA VITTORIO VENETO;0;
6290;VIA DEGLI OLIVI;0;
3460;VIA VERRUCA;1;
4027;CRISTO RE;0;
8018;VIA AL MASO BANAL;0;
5660;VIA DI SPINI;0;
1060;VIA MONS. C. ENDRICI;0;
7712;STRADA DELLA LAVANDARA;0;
3836;VIA ZITA LORENZI;0;
3817;VIA DI MADONNA BIANCA;0;
8935;VIA ALLE PORTE;0;
2700;VIA SAN BARTOLAMEO;0;
7240;VIA DELLA VILLA;0;
8052;VIA DELLA VAL DEI MOLINI;0;
770;VIA E. CHINI;0;
7230;VIA VALNIGRA;0;
2230;VIA PAPIRIA;1;
7545;VIA DEL SENTER;0;
8935;VIA ALLE PORTE;0;
3690;PIAZZA E. MOSNA;0;
3340;VIA DEL TRAVAI;1;
1060;VIA MONS. C. ENDRICI;1;
3525;VIA A. VOLTA;0;
5040;VIA BASSA;0;
5740;VIA L. BONAZZA;0;
8051;VIA DEI TURCATI;0;
5380;VIA TOSETTI;0;
5240;VIA MONTE CALISIO;0;
2500;LARGO E. PRATI;1;
740;VIA DELLA CERVARA;0;
7545;VIA DEL SENTER;0;
8422;SPONDA TRENTINA;0;
6429;VIA P. ALBERTO GIANORDOLI;0;
1700;VIA G. MANCI;1;
3340;VIA DEL TRAVAI;1;
1710;VIA MANTOVA;1;
4042;PONTE ADIGE;0;
8070;STRADA DEL DOS GARIOL;0;
3805;VIA GIANCARLO MARONI;0;
7711;BRUSAFER;0;
7460;VIA DON TOMMASO DALLAFIOR;0;
2760;VIA SAN GIORGIO;0;
6120;VIA ALLE COSTE;0;
7340;LOCALITA' PASSO CIMIRLO;0;
3450;VIALE VERONA;0;
3100;VIA G. SEGANTINI;1;
2640;VIA ROMA;1;
2640;VIA ROMA;1;
1070;PIAZZA DELLE ERBE;1;
8654;VIA DEI DAINI - VANEZE;0;
2260;VIA G. PASCOLI;1;
2620;VIA DELLA ROGGIA GRANDE;1;
2970;VIA S. MARIA MADDALENA;1;
6090;VIA CASTEL DEI MERLI;0;
6050;VIA AI BOLLERI;0;
6320;VIA DEI POZATI;0;
7475;PIAZZA OLTRECASTELLO;0;
5655;VIA DI LAMAR;0;
3811;TANGENZIALE SUD;0;SS 12 dell'Abetone e del Brennero
8018;VIA AL MASO BANAL;0;
2900;VIA R. DA SANSEVERINO;0;
7190;VIA A. TAMBOSI;0;SP 204 Villazzano-Ponte Ludovico
3510;VIA VITTORIO VENETO;1;
8604;VIA ALLA CA;0;
8613;VIA DELLA CROSARA;0;
7030;STRADA DEI BINDESI;0;
8945;VIA AI COMUNI;0;
8235;VIA MOSNA DI VIGOLO;0;
3824;VIA DI SAN VINCENZO;0;
8041;VIA DELLA RI;0;
7845;LOCALITA LASTE MATTARELLO;0;
3720;VIA DELLA MALPENSADA;0;
8119;VIA DEL CAPITELLO;0;
6340;VIA SABBIONARE;0;
7200;VIA DEI TESSADRI;0;
7460;VIA DON TOMMASO DALLAFIOR;0;SP 204 Villazzano-Ponte Ludovico
