Num_Civico;strada;cap;sobborgo
19;100;38121;Trento
20;100;38121;Trento
21;100;38121;Trento
22;100;38121;Trento
23;100;38121;Trento
24;100;38121;Trento
25;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
27;100;38121;Trento
28;100;38121;Trento
29;100;38121;Trento
31;100;38121;Trento
1;110;38122;Trento
1;110;38122;Trento
2;110;38122;Trento
2;110;38122;Trento
3;110;38122;Trento
3;110;38122;Trento
4;110;38122;Trento
4;110;38122;Trento
6;110;38122;Trento
6;110;38122;Trento
6;110;38122;Trento
10;110;38122;Trento
1;120;38122;Trento
2;120;38122;Trento
3;120;38122;Trento
3;120;38122;Trento
4;120;38122;Trento
5;120;38122;Trento
6;120;38122;Trento
7;120;38122;Trento
7;120;38122;Trento
8;120;38122;Trento
10;120;38122;Trento
12;120;38122;Trento
14;120;38122;Trento
16;120;38122;Trento
18;120;38122;Trento
20;120;38122;Trento
6;130;38122;Trento
7;130;38122;Trento
8;130;38122;Trento
9;130;38122;Trento
10;130;38122;Trento
11;130;38122;Trento
12;130;38122;Trento
13;130;38122;Trento
14;130;38122;Trento
15;130;38122;Trento
16;130;38122;Trento
17;130;38122;Trento
18;130;38122;Trento
19;130;38122;Trento
1;140;38122;Trento
2;140;38122;Trento
02-gen;140;38122;Trento
02-feb;140;38122;Trento
3;140;38122;Trento
4;140;38122;Trento
5;140;38122;Trento
6;140;38122;Trento
7;140;38122;Trento
07-gen;140;38122;Trento
07-gen;140;38122;Trento
8;140;38122;Trento
08-gen;140;38122;Trento
08-feb;140;38122;Trento
08-mar;140;38122;Trento
08-apr;140;38122;Trento
9;140;38122;Trento
10;140;38122;Trento
10-gen;140;38122;Trento
10-feb;140;38122;Trento
10-mar;140;38122;Trento
10-apr;140;38122;Trento
11;140;38122;Trento
12;140;38122;Trento
12-gen;140;38122;Trento
12-feb;140;38122;Trento
13;140;38122;Trento
13;140;38122;Trento
14;140;38122;Trento
15;140;38122;Trento
